authorLast,authorFirst,bookTitle,pubYear,pageCount,awardYear,awardName,awardAgency,awardType,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR.x,linkLT.x,authorDOB,authorGender,authorAge,authorRace,authorNationality,linkGR.y,linkLT.y,countGR,ratingGR,countLT,ratingLT
Shields,Carol,The Stone Diaries,1993,361,1995,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/77554.The_Stone_Diaries,http://www.librarything.com/work/3060/book/175320170,1935,Female,57,White,Canadian,https://www.goodreads.com/book/show/77554.The_Stone_Diaries,http://www.librarything.com/work/3060/book/175320170,35364,3.87,5029,3.74
Shiner,Lewis,Glimpses,1993,328,1994,World Fantasy Award,World Fantasy Convention,Juried,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/379197.Glimpses,http://www.librarything.com/work/169342,1950,Male,42,White,American,https://www.goodreads.com/book/show/379197.Glimpses,http://www.librarything.com/work/169342,688,3.93,227,4.1499999999999995
Silverberg,Robert,A Time of Changes,1971,304,1971,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/1706646.A_Time_of_Changes,http://www.librarything.com/work/127967/book/155877537,1935,Male,35,White,American,https://www.goodreads.com/book/show/1706646.A_Time_of_Changes,http://www.librarything.com/work/127967/book/155877537,2880,3.7,550,3.4
Simak,Clifford D.,Way Station,1963,236,1964,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/190999.Way_Station,http://www.librarything.com/work/19221/book/141877340,1904,Male,58,White,American,https://www.goodreads.com/book/show/190999.Way_Station,http://www.librarything.com/work/19221/book/141877340,20856,4.04,1888,3.9499999999999997
Simmons,Dan,Hyperion,1989,481,1990,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/77566.Hyperion,http://www.librarything.com/work/23078/book/121644606,1948,Male,40,White,American,https://www.goodreads.com/book/show/77566.Hyperion,http://www.librarything.com/work/23078/book/121644606,170615,4.24,8658,4.1899999999999995
Simmons,Dan,Song of Kali,1985,320,1986,World Fantasy Award,World Fantasy Convention,Juried,Novel,Adult,English,Horror,Male,Primary,https://www.goodreads.com/book/show/3979.Song_of_Kali,http://www.librarything.com/work/94141,1948,Male,36,White,American,https://www.goodreads.com/book/show/3979.Song_of_Kali,http://www.librarything.com/work/94141,10070,3.61,1460,3.5
Sinclair,Upton,Dragon's Teeth,1942,662,1943,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/39078166-dragon-s-teeth,http://www.librarything.com/work/512507/book/149988880,1878,Male,63,White,American,https://www.goodreads.com/book/show/39078166-dragon-s-teeth,http://www.librarything.com/work/512507/book/149988880,537,3.94,223,3.82
Sinisalo,Johanna,Not Before Sundown,2000,240,2004,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,Finnish,Fantasy,Male,Primary,https://www.goodreads.com/book/show/100485.Troll,http://www.librarything.com/work/53393/book/145953845,1958,Female,41,White,Finnish,https://www.goodreads.com/book/show/100485.Troll,http://www.librarything.com/work/53393/book/145953845,3958,3.59,872,3.69
Smaill,Anna,The Chimes,2015,291,2016,World Fantasy Award,World Fantasy Convention,Juried,Novel,Adult,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/23523012-the-chimes,http://www.librarything.com/work/15602990,1979,Female,35,White,Kiwi,https://www.goodreads.com/book/show/23523012-the-chimes,http://www.librarything.com/work/15602990,2619,3.39,299,3.4
Smiley,Jane,A Thousand Acres,1991,371,1992,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/41193.A_Thousand_Acres,http://www.librarything.com/work/2310/book/175320131,1949,Female,41,White,American,https://www.goodreads.com/book/show/41193.A_Thousand_Acres,http://www.librarything.com/work/2310/book/175320131,56282,3.81,5287,3.71
Springer,Nancy,Larque on the Wing,1994,277,1994,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/606933.Larque_on_the_Wing,http://www.librarything.com/work/94118/book/144825009,1948,Female,45,White,American,https://www.goodreads.com/book/show/606933.Larque_on_the_Wing,http://www.librarything.com/work/94118/book/144825009,116,3.77,134,3.4
Stafford,Jean,The Collected Stories of Jean Stafford,1969,512,1970,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Stories,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/805969.The_Collected_Stories_of_Jean_Stafford,http://www.librarything.com/work/1148681/book/175320025,1915,Female,53,White,American,https://www.goodreads.com/book/show/805969.The_Collected_Stories_of_Jean_Stafford,http://www.librarything.com/work/1148681/book/175320025,1339,3.74,280,3.4299999999999997
Stegner,Wallace,Angle of Repose,1971,569,1972,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Western,Male,Primary,https://www.goodreads.com/book/show/292408.Angle_of_Repose,http://www.librarything.com/work/16878/book/87207822,1909,Male,61,White,American,https://www.goodreads.com/book/show/292408.Angle_of_Repose,http://www.librarything.com/work/16878/book/87207822,49386,4.27,4540,4.2700000000000005
Steinbeck,John,The Grapes of Wrath,1939,479,1940,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,http://www.librarything.com/work/8488/book/24581077,1902,Male,36,White,American,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,http://www.librarything.com/work/8488/book/24581077,708550,3.96,27312,4.13
Stephenson,Neal,The Diamond Age,1995,512,1996,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/827.The_Diamond_Age,http://www.librarything.com/work/12987/book/17167957,1959,Male,35,White,American,https://www.goodreads.com/book/show/827.The_Diamond_Age,http://www.librarything.com/work/12987/book/17167957,77650,4.19,9648,4.109999999999999
Stewart,Sean,Galveston,2000,464,2001,World Fantasy Award,World Fantasy Convention,Juried,Novel,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/383108.Galveston,http://www.librarything.com/work/184020,1965,Male,34,White,American,https://www.goodreads.com/book/show/383108.Galveston,http://www.librarything.com/work/184020,727,3.81,356,3.8099999999999996
Straub,Peter,Koko,1988,634,1989,World Fantasy Award,World Fantasy Convention,Juried,Novel,Adult,English,Horror,Male,Primary,https://www.goodreads.com/book/show/19577.Koko,http://www.librarything.com/work/128096,1943,Male,44,White,American,https://www.goodreads.com/book/show/19577.Koko,http://www.librarything.com/work/128096,8576,3.57,1170,3.62
Stribling,T.S.,The Store,1932,592,1933,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/274607.The_Store,http://www.librarything.com/work/1251985/book/175319916,1881,Male,50,White,American,https://www.goodreads.com/book/show/274607.The_Store,http://www.librarything.com/work/1251985/book/175319916,588,3.73,98,3.69
Strout,Elizabeth,Olive Kitteridge,2008,270,2009,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Stories,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/1736739.Olive_Kitteridge,http://www.librarything.com/work/10112735/book/157950933,1956,Female,51,White,American,https://www.goodreads.com/book/show/1736739.Olive_Kitteridge,http://www.librarything.com/work/10112735/book/157950933,147151,3.83,7757,3.92
Styron,William,The Confessions of Nat Turner,1967,453,1968,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/577283.The_Confessions_of_Nat_Turner,http://www.librarything.com/work/7336/book/87208404,1925,Male,41,White,American,https://www.goodreads.com/book/show/577283.The_Confessions_of_Nat_Turner,http://www.librarything.com/work/7336/book/87208404,13753,3.97,2234,3.94
Sulway,Nike,Rupetta,2013,331,2013,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/17252752-rupetta,http://www.librarything.com/work/13520684/book/153522003,1968,Female,44,White,Australian,https://www.goodreads.com/book/show/17252752-rupetta,http://www.librarything.com/work/13520684/book/153522003,183,3.9,71,4
Suskind,Patrick,Perfume,1985,263,1987,World Fantasy Award,World Fantasy Convention,Juried,Novel,Adult,German,Horror,Male,Primary,https://www.goodreads.com/book/show/343.Perfume,http://www.librarything.com/work/36980,1949,Male,35,White,German,https://www.goodreads.com/book/show/343.Perfume,http://www.librarything.com/work/36980,295452,4.02,14926,3.9499999999999997
Swanwick,Michael,Stations of the Tide,1991,256,1992,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/243859.Stations_of_the_Tide,http://www.librarything.com/work/49113/book/141552732,1950,Male,40,White,American,https://www.goodreads.com/book/show/243859.Stations_of_the_Tide,http://www.librarything.com/work/49113/book/141552732,2252,3.71,679,3.74
Tarkington,Booth,The Magnificent Ambersons,1918,258,1919,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/127028.The_Magnificent_Ambersons,http://www.librarything.com/work/83427/book/87206995,1869,Male,48,White,American,https://www.goodreads.com/book/show/127028.The_Magnificent_Ambersons,http://www.librarything.com/work/83427/book/87206995,9756,3.77,1314,3.8499999999999996
Tarkington,Booth,Alice Adams,1921,268,1922,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/525818.Alice_Adams,http://www.librarything.com/work/143395/book/175319859,1869,Male,51,White,American,https://www.goodreads.com/book/show/525818.Alice_Adams,http://www.librarything.com/work/143395/book/175319859,3975,3.63,400,3.61
Tartt,Donna,The Goldfinch,2013,771,2014,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/17333223-the-goldfinch,http://www.librarything.com/work/13520191/book/123953872,1963,Female,49,White,American,https://www.goodreads.com/book/show/17333223-the-goldfinch,http://www.librarything.com/work/13520191/book/123953872,659267,3.91,9650,3.9699999999999998
Taylor,Peter,A Summons to Memphis,1986,209,1987,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/60737.A_Summons_to_Memphis,http://www.librarything.com/work/6078576/book/175320092,1917,Male,68,White,American,https://www.goodreads.com/book/show/60737.A_Summons_to_Memphis,http://www.librarything.com/work/6078576/book/175320092,5660,3.67,843,3.46
Taylor,Robert Lewis,The Travels of Jaimie McPheeters,1958,544,1959,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Western,Male,Primary,https://www.goodreads.com/book/show/274746.The_Travels_of_Jaimie_McPheeters,http://www.librarything.com/work/301660/book/175319982,1912,Male,45,White,American,https://www.goodreads.com/book/show/274746.The_Travels_of_Jaimie_McPheeters,http://www.librarything.com/work/301660/book/175319982,2877,3.94,296,4.21
