authorLast,authorFirst,bookTitle,pubYear,pageCount,awardYear,awardName,awardAgency,awardType,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,countLT,ratingLT,ratingGR
Agee,James,A Death in the Family,1957,320,1958,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/113091.A_Death_in_the_Family,http://www.librarything.com/work/61274/book/87208331,1909,Male,47,White,American,13441,2455,3.9099999999999997,3.91
Anders,Charlie Jane,All the Birds in the Sky,2016,320,2017,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/25372801-all-the-birds-in-the-sky,http://www.librarything.com/work/16083994/book/126388330,1972,Female,43,White,American,33232,1658,3.61,3.58
Arnason,Eleanor,A Woman of the Iron People,1991,525,1991,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/396647.A_Woman_of_the_Iron_People,http://www.librarything.com/work/722198/book/141762808,1942,Female,48,White,American,468,199,3.96,3.82
Asaro,Catherine,The Quantum Rose,2001,400,2002,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/598099.The_Quantum_Rose,http://www.librarything.com/work/24984/book/155884082,1955,Female,45,White,American,1880,462,3.4,3.57
Asimov,Isaac,The Gods Themselves,1972,304,1973,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/41821.The_Gods_Themselves,http://www.librarything.com/work/3410,1920,Male,51,White,Russian,48854,4487,3.8499999999999996,4.09
Asimov,Isaac,The Gods Themselves,1972,304,1973,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/41821.The_Gods_Themselves,http://www.librarything.com/work/3410,1920,Male,51,White,Russian,48854,4487,3.8499999999999996,4.09
Asimov,Isaac,Foundation's Edge,1982,480,1983,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/76683.Foundation_s_Edge,http://www.librarything.com/work/17640,1920,Male,61,White,Russian,63287,7748,3.79,4.12
Bacigalupi,Paolo,The Windup Girl,2009,480,2010,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/6597651-the-windup-girl,http://www.librarything.com/work/8585029,1972,Male,36,White,American,60285,4779,3.7600000000000002,3.75
Bacigalupi,Paolo,The Windup Girl,2009,480,2010,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/6597651-the-windup-girl,http://www.librarything.com/work/8585029,1972,Male,36,White,American,60285,4779,3.7600000000000002,3.75
Barnes,Margaret Ayer,Years of Grace,1930,581,1931,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/1457221.Years_of_Grace,http://www.librarything.com/work/533182/book/175319895,1886,Female,43,White,American,892,125,3.79,3.7
Bear,Greg,Darwin's Radio,1999,544,2001,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/64923.Darwin_s_Radio,http://www.librarything.com/work/12974/book/140983591,1951,Male,47,White,American,12673,3066,3.52,3.7
Bellow,Saul,Humboldt's Gift,1975,487,1976,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/11494.Humboldt_s_Gift,http://www.librarything.com/work/10094/book/175320049,1915,Male,59,White,Canadian,7831,2420,3.82,3.86
Benford,Gregory,Timescape,1980,499,1981,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/778990.Timescape,http://www.librarything.com/work/21386/book/142399933,1941,Male,38,White,American,9982,1745,3.56,3.74
Bergin,Virginia,Who Runs the World?,2017,352,2017,Otherwise Award,Award: Otherwise,Juried,Novel,YA,English,Sci-fi,Female,Primary,https://www.goodreads.com/en/book/show/33891082,http://www.librarything.com/work/19904919/book/156677421,1966,Female,50,White,English,1128,65,3.25,2.95
Bester,Alfred,The Demolished Man,1953,183,1953,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/76740.The_Demolished_Man,http://www.librarything.com/work/4079879,1913,Male,39,White,American,26278,3806,3.94,3.99
Bishop,Michael,No Enemy But Time,1982,397,1983,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/637400.No_Enemy_But_Time,http://www.librarything.com/work/90728/book/157165011,1945,Male,36,White,American,1259,489,3.4699999999999998,3.49
Blish,James,A Case of Conscience,1958,184,1959,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/123673.A_Case_of_Conscience,http://www.librarything.com/work/20493,1921,Male,36,White,American,5154,1443,3.32,3.65
Brin,David,The Uplift War,1987,672,1988,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/234489.The_Uplift_War,http://www.librarything.com/work/19167,1950,Male,36,White,American,23257,2742,3.9499999999999997,4.07
Brin,David,Startide Rising,1983,480,1984,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/234501.Startide_Rising,http://www.librarything.com/work/18983,1950,Male,32,White,American,27923,3517,4,4.04
Brin,David,Startide Rising,1983,480,1984,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/234501.Startide_Rising,http://www.librarything.com/work/18983,1950,Male,32,White,American,27923,3517,4,4.04
Bromfield,Louis,Early Autumn: A Story of a Lady,1926,303,1927,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/221327.Early_Autumn,http://www.librarything.com/work/985399/book/175319883,1896,Male,29,White,American,1055,180,3.46,3.61
Brooks,Geraldine,March,2005,280,2006,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/13529.March,http://www.librarything.com/work/106961/book/157950936,1955,Female,49,White,Australian,51456,5781,3.7600000000000002,3.75
Brunner,John,Stand on Zanzibar,1968,507,1969,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/41069.Stand_on_Zanzibar,http://www.librarything.com/work/21041,1934,Male,33,White,English,13504,2538,3.94,3.96
Buck,Pearl S.,The Good Earth,1931,418,1932,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/1078.The_Good_Earth,http://www.librarything.com/work/5987/book/24406189,1892,Female,38,White,American,213588,11263,4.05,3.98
Bujold,Lois McMaster,Barrayar,1991,336,1992,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/61905.Barrayar,http://www.librarything.com/work/24776,1949,Female,41,White,American,22676,2102,4.1899999999999995,4.31
Bujold,Lois McMaster,Falling Free,1987,320,1989,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/61915.Falling_Free,http://www.librarything.com/work/12638/book/121647419,1949,Female,37,White,American,16432,2137,3.67,3.83
Bujold,Lois McMaster,The Vor Game,1990,345,1991,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/68483.The_Vor_Game,http://www.librarything.com/work/12650,1949,Female,40,White,American,19453,2228,4.109999999999999,4.28
Bujold,Lois McMaster,Paladin of Souls,2003,470,2004,Hugo Award,World SF Society,Popular,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/61904.Paladin_of_Souls,http://www.librarything.com/work/7313,1949,Female,53,White,American,20523,3086,4.24,4.15
Bujold,Lois McMaster,Paladin of Souls,2003,470,2005,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/61904.Paladin_of_Souls,http://www.librarything.com/work/7313,1949,Female,53,White,American,20523,3086,4.24,4.15
Bujold,Lois McMaster,Mirror Dance,1994,560,1995,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/61909.Mirror_Dance,http://www.librarything.com/work/12645,1949,Female,44,White,American,17714,2268,4.2700000000000005,4.33
Butler,Octavia E.,Parable of the Talents,1998,424,2000,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/60932.Parable_of_the_Talents,http://www.librarything.com/work/1094465/book/104201731,1947,Female,50,Black,American,18632,2037,4.04,4.24
Butler,Robert Olen,A Good Scent from a Strange Mountain,1992,269,1993,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Stories,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/261601.A_Good_Scent_from_a_Strange_Mountain,http://www.librarything.com/work/38269/book/175320132,1945,Male,46,White,American,7680,1157,3.8099999999999996,3.96
Byrne,Monica,The Girl in the Road,2014,336,2014,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/18297954-the-girl-in-the-road,http://www.librarything.com/work/14406949/book/153524898,1981,Female,32,Middle-Eastern,American,2864,351,3.59,3.49
Card,Orson Scott,Ender's Game,1985,352,1986,Hugo Award,World SF Society,Popular,Novel,YA,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/375802.Ender_s_Game,http://www.librarything.com/work/825739,1951,Male,33,White,American,1034689,33263,4.33,4.3
Card,Orson Scott,Ender's Game,1985,352,1986,Nebula Award,SFF Writers of America,Popular,Novel,YA,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/375802.Ender_s_Game,http://www.librarything.com/work/825739,1951,Male,33,White,American,1034689,33263,4.33,4.3
Card,Orson Scott,Speaker for the Dead,1987,382,1987,Hugo Award,World SF Society,Popular,Novel,YA,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,http://www.librarything.com/work/825707,1951,Male,35,White,American,209085,13039,3.9699999999999998,4.06
Card,Orson Scott,Speaker for the Dead,1987,382,1987,Nebula Award,SFF Writers of America,Popular,Novel,YA,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,http://www.librarything.com/work/825707,1951,Male,35,White,American,209085,13039,3.9699999999999998,4.06
Cather,Willa,One of Ours,1922,343,1923,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/543137.One_of_Ours,http://www.librarything.com/work/30410/book/157046929,1873,Female,48,White,American,6597,911,3.77,3.89
Chabon,Michael,The Amazing Adventures of Kavalier and Clay,2000,639,2001,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/3985.The_Amazing_Adventures_of_Kavalier_Clay,http://www.librarything.com/work/5927/book/24409460,1963,Male,36,White,American,175710,16188,4.23,4.18
Chabon,Michael,The Yiddish Policeman's Union,2007,464,2008,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/16703.The_Yiddish_Policemen_s_Union,http://www.librarything.com/work/83916,1963,Male,43,White,American,59300,8769,3.79,3.7
Chabon,Michael,The Yiddish Policeman's Union,2007,464,2008,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/16703.The_Yiddish_Policemen_s_Union,http://www.librarything.com/work/83916,1963,Male,43,White,American,59300,8769,3.79,3.7
Charnas,Suzy McKee,The Conqueror's Child,1999,432,1999,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/750232.The_Conqueror_s_Child,http://www.librarything.com/work/409030/book/141762794,1939,Female,59,White,American,110,100,3.79,3.78
Cheever,John,The Stories of John Cheever,1978,693,1979,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Stories,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/11686.The_Stories_of_John_Cheever,http://www.librarything.com/work/64813/book/24917281,1912,Male,65,White,American,13677,2718,4.1899999999999995,4.27
Cherryh,C.J.,Cyteen,1988,696,1989,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/834518.Cyteen,http://www.librarything.com/work/35679,1942,Female,45,White,American,9425,1483,4.07,4
Cherryh,C.J.,Downbelow Station,1981,430,1982,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/57045.Downbelow_Station,http://www.librarything.com/work/59827,1942,Female,38,White,American,12386,2232,3.77,3.91
Clarke,Arthur C.,The Fountains of Paradise,1980,256,1980,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/149049.The_Fountains_of_Paradise,http://www.librarything.com/work/19069,1917,Male,62,White,English,24594,2681,3.7800000000000002,3.96
Clarke,Arthur C.,The Fountains of Paradise,1980,256,1980,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/149049.The_Fountains_of_Paradise,http://www.librarything.com/work/19069,1917,Male,62,White,English,24594,2681,3.7800000000000002,3.96
Clarke,Arthur C.,Rendezvous with Rama,1973,214,1974,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/112537.Rendezvous_with_Rama,http://www.librarything.com/work/7180,1917,Male,55,White,English,122179,7712,3.9499999999999997,4.09
Clarke,Arthur C.,Rendezvous with Rama,1973,214,1974,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/112537.Rendezvous_with_Rama,http://www.librarything.com/work/7180,1917,Male,55,White,English,122179,7712,3.9499999999999997,4.09
Clarke,Susanna,Jonathan Strange and Mr Norrell,2004,1024,2005,Hugo Award,World SF Society,Popular,Novel,Adult,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,http://www.librarything.com/work/1060/book/24408375,1959,Female,44,White,English,180961,22596,3.9499999999999997,3.82
Clifton,Mark,They'd Rather Be Right,1955,351,1955,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/754001.They_d_Rather_Be_Right,http://www.librarything.com/work/462507/book/155874654,1906,Male,48,White,American,1010,285,2.82,3.09
Cozzens,James Gould,Guard of Honor,1948,640,1949,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/38185340-guard-of-honor,http://www.librarything.com/work/134641/book/175319963,1903,Male,44,White,American,1125,271,3.42,3.52
Cunningham,Michael,The Hours,1998,230,1999,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/11899.The_Hours,http://www.librarything.com/work/5163/book/162048911,1952,Male,45,White,American,120381,10915,3.92,3.93
Davis,H.L.,Honey in the Horn,1935,408,1936,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/1052571.Honey_in_the_Horn,http://www.librarything.com/work/525661/book/175319932,1894,Male,40,White,American,1019,172,3.48,3.61
Delany,Samuel R.,Babel-17,1966,189,1967,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/1199688.Babel_17,http://www.librarything.com/work/49765/book/62489643,1942,Male,23,Black,American,11141,1869,3.72,3.76
Diaz,Junot,The Brief Wondrous Life of Oscar Wao,2007,335,2008,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/297673.The_Brief_Wondrous_Life_of_Oscar_Wao,http://www.librarything.com/work/3165787/book/41275392,1968,Male,38,Hispanic,Dominican,216223,10645,3.86,3.9
Dick,Philip K.,The Man in the High Castle,1962,272,1963,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle,http://www.librarything.com/work/16570/book/55399991,1928,Male,33,White,American,151676,10097,3.71,3.62
Doerr,Anthony,All the Light We Cannot See,2014,531,2015,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,http://www.librarything.com/work/14291423/book/122905366,1973,Male,40,White,American,857582,10295,4.29,4.33
Dorsey,Candas Jane,Black Wine,1997,288,1997,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/174764.Black_Wine,http://www.librarything.com/work/27629/book/145953117,1952,Female,44,White,Canadian,316,241,3.69,3.73
Drury,Allen,Advise and Consent,1959,616,1960,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/159346.Advise_and_Consent,http://www.librarything.com/work/70170/book/175319983,1918,Male,40,White,American,9194,798,3.8699999999999997,4.09
Egan,Jennifer,A Visit from the Goon Squad,2011,288,2011,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Stories,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/7331435-a-visit-from-the-goon-squad,http://www.librarything.com/work/9530166/book/175320222,1962,Female,48,White,American,164116,6516,3.68,3.66
Eugenides,Jeffrey,Middlesex,2002,529,2003,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/2187.Middlesex,http://www.librarything.com/work/2718/book/55400479,1960,Male,41,White,American,557935,23723,4.109999999999999,4
Farmer,Philip Jose,To Your Scattered Bodies Go,1971,224,1972,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/189147.To_Your_Scattered_Bodies_Go,http://www.librarything.com/work/19187/book/24443681,1918,Male,52,White,American,27068,3073,3.75,3.95
Faulkner,William,The Reivers,1962,305,1963,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/210825.The_Reivers,http://www.librarything.com/work/47839/book/52841767,1897,Male,64,White,American,6246,1817,3.65,3.79
Faulkner,William,A Fable,1954,384,1955,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/863348.A_Fable,http://www.librarything.com/work/96960/book/52841730,1897,Male,56,White,American,3820,645,3.08,3.55
Ferber,Edna,So Big,1924,376,1925,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/257443.So_Big,http://www.librarything.com/work/37397/book/175319875,1885,Female,38,White,American,7764,717,3.9299999999999997,4.02
Flavin,Martin,Journey in the Dark,1943,432,1944,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/748029.Journey_in_the_Dark,http://www.librarything.com/work/1254150/book/175319948,1883,Male,59,White,American,759,97,3.77,3.62
Ford,Richard,Independence Day,1995,464,1996,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/12374.Independence_Day,http://www.librarything.com/work/902/book/87208109,1944,Male,50,White,American,14329,2609,3.86,3.86
Gaiman,Neil,American Gods,2001,560,2002,Hugo Award,World SF Society,Popular,Novel,Adult,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/30165203-american-gods,http://www.librarything.com/work/2280068/book/11724257,1960,Male,40,White,English,689871,28017,4.08,4.11
Gaiman,Neil,American Gods,2001,560,2003,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/30165203-american-gods,http://www.librarything.com/work/2280068/book/11724257,1960,Male,40,White,English,689871,28017,4.08,4.11
Gaiman,Neil,The Graveyard Book,2008,320,2009,Hugo Award,World SF Society,Popular,Novel,YA,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,http://www.librarything.com/work/4479754/book/55400514,1960,Male,47,White,English,403305,16965,4.18,4.13
Gibson,William,Neuromancer,1984,288,1985,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/888628.Neuromancer,http://www.librarything.com/work/609/book/24453426,1948,Male,35,White,Canadian,242330,18404,3.9299999999999997,3.89
Gibson,William,Neuromancer,1984,288,1985,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/888628.Neuromancer,http://www.librarything.com/work/609/book/24453426,1948,Male,35,White,Canadian,242330,18404,3.9299999999999997,3.89
Gilman,Greer,Cloud and Ashes: Three Winter's Tales,2009,448,2009,Otherwise Award,Award: Otherwise,Juried,Stories,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/5970437-cloud-and-ashes,http://www.librarything.com/work/6989001/book/152931395,1951,Female,57,White,American,115,138,3.57,3.82
Glasgow,Ellen,In This Our Life,1941,350,1942,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/1791813.In_This_Our_Life,http://www.librarything.com/work/1322396/book/175319947,1873,Female,67,White,American,891,139,3.4099999999999997,3.59
Gloss,Molly,Wild Life,2000,272,2000,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/475582.Wild_Life,http://www.librarything.com/work/46587/book/145953571,1944,Female,55,White,American,854,337,3.61,3.67
Goto,Hiromi,The Kappa Child,2001,280,2001,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/168860.The_Kappa_Child,http://www.librarything.com/work/128267/book/145953622,1966,Female,34,Asian,Japanese,285,130,3.8299999999999996,3.81
Grau,Shirley Ann,The Keepers of the House,1964,320,1965,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/266978.The_Keepers_of_the_House,http://www.librarything.com/work/294/book/175320002,1929,Female,34,White,American,7033,544,3.8,3.95
Greer,Andrew Sean,Less,2017,273,2018,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/39927096-less,http://www.librarything.com/work/19029739/book/159552578,1970,Male,46,White,American,87572,1488,3.7,3.72
Griffith,Nicola,Ammonite,1992,414,1993,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/180270.Ammonite,http://www.librarything.com/work/111665/book/140934190,1960,Female,31,White,English,3841,984,3.88,3.86
Griffith,Nicola,Slow River,1995,352,1997,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/270259.Slow_River,http://www.librarything.com/work/49077/book/140934303,1960,Female,34,White,English,3528,995,3.88,3.85
"Guthrie, Jr.",A.B.,The Way West,1949,352,1950,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Western,Male,Primary,https://www.goodreads.com/book/show/202033.The_Way_West,http://www.librarything.com/work/643510/book/175319966,1901,Male,47,White,American,4859,546,3.9899999999999998,3.94
Hairston,Andrea,Redwood and Wildfire,2011,448,2011,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/9678305-redwood-and-wildfire,http://www.librarything.com/work/10577684/book/153386336,1952,Female,58,Black,American,156,68,3.77,4.08
Haldeman,Joe,The Forever War,1974,264,1976,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/21611.The_Forever_War,http://www.librarything.com/work/7899/book/121646137,1943,Male,30,White,American,125988,7245,4.02,4.15
Haldeman,Joe,The Forever War,1974,264,1976,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/21611.The_Forever_War,http://www.librarything.com/work/7899/book/121646137,1943,Male,30,White,American,125988,7245,4.02,4.15
Haldeman,Joe,Forever Peace,1997,368,1998,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/21618.Forever_Peace,http://www.librarything.com/work/45880/book/154769441,1943,Male,53,White,American,17062,1771,3.5,3.74
Haldeman,Joe,Forever Peace,1997,368,1999,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/21618.Forever_Peace,http://www.librarything.com/work/45880/book/154769441,1943,Male,53,White,American,17062,1771,3.5,3.74
Haldeman,Joe,Camouflage,2004,304,2006,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/21607.Camouflage,http://www.librarything.com/work/48214/book/155873596,1943,Male,60,White,American,5526,954,3.4699999999999998,3.63
Haldeman,Joe,Camouflage,2004,304,2004,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/21607.Camouflage,http://www.librarything.com/work/48214/book/155873596,1943,Male,60,White,American,5526,954,3.4699999999999998,3.63
Hall,Sarah,The Carhullan Army,2007,224,2007,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/2744237-daughters-of-the-north,http://www.librarything.com/work/3256265/book/153454620,1974,Female,32,White,English,3468,588,3.34,3.39
Hand,Elizabeth,Waking the Moon,1994,390,1995,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/102885.Waking_the_Moon,http://www.librarything.com/work/51474/book/144138908,1957,Female,36,White,American,1931,681,3.72,3.86
Harding,Paul,Tinkers,2009,192,2010,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/4957350-tinkers,http://www.librarything.com/work/7460810/book/175320218,1967,Male,41,White,American,28446,2906,3.48,3.38
Harrison,M. John,Light,2002,310,2002,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/17735.Light,http://www.librarything.com/work/23168/book/141073207,1945,Male,56,White,English,4563,1651,3.44,3.6
