authorLast,authorFirst,bookTitle,pubYear,pageCount,awardYear,awardName,awardAgency,awardType,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,countLT,ratingLT,ratingGR
Russell,Mary Doria,The Sparrow,1996,408,1996,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/334176.The_Sparrow,http://www.librarything.com/work/28159/book/145953034,1950,Female,45,White,American,54978,6159,4.2,4.16
Russo,Richard,Empire Falls,2001,483,2002,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/187020.Empire_Falls,http://www.librarything.com/work/5758/book/167911042,1949,Male,51,White,American,103223,7721,3.9499999999999997,3.93
Ryman,Geoff,Air,2004,400,2005,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/206662.Air,http://www.librarything.com/work/134555/book/145953867,1951,Male,52,White,Canadian,2308,766,3.7,3.61
Salaam,Kiini Ibura,"Ancient, Ancient",2012,272,2012,Otherwise Award,Award: Otherwise,Juried,Stories,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/15770475-ancient-ancient,http://www.librarything.com/work/12787272/book/153520790,1973,Female,38,Black,American,144,77,3.58,3.9
Sawyer,Robert J.,The Terminal Experiment,1995,352,1996,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/264945.The_Terminal_Experiment,http://www.librarything.com/work/62577/book/155879218,1960,Male,34,White,Canadian,3818,684,3.48,3.75
Sawyer,Robert J.,Hominids,2002,448,2003,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/264946.Hominids,http://www.librarything.com/work/52307/book/155875645,1960,Male,41,White,Canadian,11294,1599,3.63,3.79
Scalzi,John,Redshirts,2012,320,2013,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/13055592-redshirts,http://www.librarything.com/work/11921345/book/141032260,1969,Male,42,White,American,78862,3113,3.7600000000000002,3.85
Scarborough,Elizabeth Ann,The Healer's War,1988,303,1990,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/491093.The_Healer_s_War,http://www.librarything.com/work/394512/book/155878282,1947,Female,40,White,American,1592,414,3.66,3.68
Schmatz,Pat,Lizard Radio,2015,288,2015,Otherwise Award,Award: Otherwise,Juried,Novel,YA,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/24727102-lizard-radio,http://www.librarything.com/work/15693896/book/153525617,1960,Female,54,White,American,690,130,3.98,3.62
Shaara,Michael,The Killer Angels,1974,345,1975,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Western,Male,Primary,https://www.goodreads.com/book/show/682804.The_Killer_Angels,http://www.librarything.com/work/6935/book/175320047,1928,Male,45,White,American,71607,6969,4.3,4.32
